job_id,tag_id,company,position,main_tasks,requirements,preferred,skill_tags,location
363724,873,라포랩스,[퀸잇] Frontend Engineer (Growth Squad),"[함께하게 될 Growth Squad는 이런 목표에 집중해요] 
• 퀸잇의 다음 성장 엔진 두 가지를 만들어요.
  ◦ Objective 1: 크리에이터를 퀸잇의 새로운 그로스 엔진으로 정착시킨다.
    ◦ KR: 크리에이터 프로그램으로 첫구매자의 N%를 데려온다.
  ◦ Objective 2: 라포랩스의 다음 먹거리를 직접 만든다.
    ◦ KR: 패션 구매 유저의 리빙/뷰티 구매 전환율을 N배 만든다.
  ◦ 전사의 목표인 (1) 거래액, (2) 비패션 구매자 확보와 Tightly-Aligned 되어 있어요. Growth Squad가 목표를 달성하면, 그게 곧 라포랩스의 성장으로 이어집니다.
• 아래와 같은 액션들을 함께 해요.
  ◦ 블랙프라이데이 등 대형 행사에서 크리에이터가 모든 채널에서 퀸잇을 퍼뜨리게 해서 수많은 첫구매자를 획득해요.
  ◦ 패션에서 뷰티·리빙으로 자연스럽게 흐르는 유저 경험을 설계해, 패션만 사던 유저가 비패션까지 사게 만들어요.
• 솔직히, 너무나도 도전적인 목표예요. 크리에이터 프로그램은 MVP부터 시작이고, 비패션 전환율을 몇 배나 끌어올려야 하니까요. 하지만 그 과정이 치열한 만큼, 퀸잇이 패션 앱을 넘어 라이프스타일 플랫폼으로 도약하는 순간을 직접 만드는 경험을 함께 하게 돼요. 달성했을 때의 열매는 달콤할 거예요.
•  아티클 보러가기 : https://bit.ly/3PVGWG8

[함께하게 될 프론트엔드 챕터 (Frontend Chapter)를 소개해요] 
• 비즈니스 임팩트와 기술적 깊이를 동시에 추구하며 성장할 수밖에 없는 환경이에요.
• 매주 금요일, 라포랩스의 기술 세미나 ‘퀄리티 데이(Quality Day)’에서 다양한 기술 아젠다를 자유롭게 제안하고 공유하며 기술 부채를 함께 해소하고 있어요.","[라포랩스는 뜨거운 분을 찾고 있어요] 
• 지금 회사가 너무 커서, 하고 싶은 만큼 일을 못 하는 게 답답하신 분
• 작은 스타트업에서 꿈을 펼치고 있는데, 회사가 돈을 못 벌어서 허무하신 분
• 사업을 직접 해봤는데 잘 안 돼서, 비즈니스 감각을 제대로 길러보고 싶으신 분
• 목표를 달성하지 못하면 화가 나서 잠이 안 오는 분","[이런 경험을 가진 분이라면 더욱 좋아요. 아래의 경험을 1-2줄로 이력서에 담아주세요] 
• 내가 지금 뜨거운 이유
• 기존의 프로세스나 관습을 당연하게 여기지 않고, 기꺼이 깨트려본 경험
• 구체적인 사례에 기반한 AI 툴 활용 경험
• 목표에 몰입해서 밀도 있는 시간을 보낸 경험
• 가장 크게 실패해본 경험

 [라포랩스의 개발 환경은요] 
• Main Stack: TypeScript, React, React Native, Next.js
• 상태관리: React Query, Redux, Jotai
• 모노레포 & 빌드: NX, SWC, Webpack, Babel
• CI/CD: GitHub Actions, CircleCI
• Toolkit: Sentry, DataDog
• 직접 만든 가장 자랑스러운 결과물","['Redis', 'Kotlin', 'AWS', 'NoSQL', 'Gradle', 'JPA', 'Spring Boot', 'Kubernetes']","서울 강남구 테헤란로98길 8, KT&G 코스모 대치타워"
363668,873,문토,테크 리드,"[이런 일을 해요]
입사와 동시에 문토의 핵심 프로덕트 개발과 개발 조직 운영을 함께 맡게 됩니다.
문토의 테크리드는 단순히 기능을 개발하는 역할을 넘어, 서비스 성장 단계에 맞는 기술 방향성, 개발 프로세스, 시스템 안정성, 개발 생산성을 함께 만들어가는 역할입니다.
특히 문토는 AI 기반 개발 방식을 적극적으로 도입하여, 작은 팀이 더 빠르고 안정적으로 제품을 만들 수 있는 개발 조직을 만들어가고 있습니다.

1. 개발팀 리딩 및 개발 운영 체계 구축
• 개발팀의 업무 우선순위, 리소스 배분, 일정 산출 및 진행 상황을 관리합니다.
• 제품 로드맵과 비즈니스 목표에 맞춰 개발 우선순위와 기술 실행 계획을 수립합니다.
• 개발 이슈, 일정 리스크, 기술 부채를 경영자 및 유관부서가 이해할 수 있도록 명확하게 공유합니다.
• 팀이 안정적으로 협업할 수 있도록 업무 방식, 리뷰 방식, 배포 프로세스를 체계화합니다.

2. 문토 서비스 개발 및 운영·관리 실무 
• 문토 웹사이트 및 앱 서비스의 개발, 운영, 유지보수를 리드합니다.
• 백엔드, 프론트엔드, 모바일 앱, 외부 SDK, 데이터 연동 구조를 이해하고 기술 의사결정을 관리합니다.
• AWS, 배포 환경, 서버 및 인프라 운영과 관련된 기술적 의사결정을 검토합니다.
• 신규 기능 개발뿐 아니라 장애 대응, 성능 개선, 데이터 연동 안정화 등 운영 품질을 함께 책임집니다.

3. 개발 품질 및 운영 안정성 관리   
•설계 리뷰, 코드 리뷰, 배포 리뷰 등 개발 품질을 높이기 위한 기준을 운영합니다.
• 장애, 배포, 외부 SDK 연동, 데이터 이슈 등 운영 리스크를 사전에 점검하고 대응 체계를 만듭니다.
• 개발팀이 빠르게 실행하면서도 안정적인 서비스를 운영할 수 있도록 기술적 기준과 프로세스를 정비합니다.
• 사업 조직과 협업하며 제품 개발에 필요한 기술적 판단과 리스크를 명확하게 공유합니다.

4. AI 기반 개발 프로세스 정립   
• AI 기반 개발 도구를 활용한 개발, 코드 리뷰, 테스트, 문서화, 디버깅 프로세스를 설계하고 운영합니다.
• AI가 생성하거나 보조한 코드의 품질, 보안, 유지보수성을 검토할 수 있는 기준을 수립합니다.
• 반복적인 개발 업무와 문서화 업무를 자동화하여 개발 생산성을 높입니다
• AI 활용이 단순한 코드 생성에 그치지 않고, 제품 품질과 개발 속도 개선으로 이어지도록 개발 프로세스를 정비합니다.

[문토 기술 스택] 
• 백엔드: Node.js, NestJS, Prisma
• 프론트엔드: TypeScript, React, Next.js
• 모바일: Flutter, Dart
• DB: PostgreSQL, Redis, MongoDB
• 인프라: AWS EC2, ECS, S3, CloudFront, RDS, Lambda
• 코드 관리: GitHub
• 배포: Github Actions, Docker, Fastlane
• AI 개발 도구: Claude Code","• 최소 7년 이상의 소프트웨어 개발 경험이 있으신 분
• 테크리드 또는 시니어 개발자로서 제품 개발을 리딩한 경험이 있으신 분
• 직접 개발과 기술 의사결정을 함께 수행할 수 있으신 분
• AI 기반 개발 도구를 활용해 개발 생산성과 품질을 높이는 데 관심이 있으신 분
• 사업 목표와 기술 의사결정을 연결해 커뮤니케이션할 수 있으신 분","• B2C 플랫폼 또는 모바일 서비스의 성장 과정에서 기술 리드를 경험해보신 분
• 개발 조직의 생산성, 품질, 운영 안정성을 개선해 본 경험이 있으신 분
• AI 기반 개발 프로세스를 팀 단위로 도입하거나 정비해 본 경험이 있으신 분
• 데이터, 외부 연동, 배포, 장애 대응 등 서비스 운영 리스크를 구조적으로 관리해 본 경험이 있으신 분
• 비즈니스 임팩트를 기준으로 기술 우선순위를 판단해 본 경험이 있으신 분",[],강남구 논현로87길 19
363637,873,엠케이교육,[퓨즈케이]풀스텍 개발자 (백엔드),"* 백엔드 개발자 4,500~6,000만원
 • 채점 API, 학생 포트폴리오 DB, 성장 리포트 시스템 전체 구축
 • 서비스 아키텍처 설계부터 배포·운영까지 주도할 수 있는 분 
 • 경력 3~5년, 스타트업 경험 있는 분 우대. 프론트 엔드 동시 가능한 멀티 플레이어 우대.","• 경력 3년 이상
• 대학교 졸업(4년)이상
• Python 백엔드 또는 AI 개발 경력 3년 이상
• LLM API, NCP 활용 경험 (OpenAI, Anthropic, 또는 fine-tuning 경험)
• AWS 또는 GCP 기반 서비스 설계·배포 경험
• ""이 문제는 AI로 어떻게 풀까""를 먼저 생각하는 사람
• 빠르게 만들고 검증하는 스타트업 속도에 익숙한 분","• RAG 시스템 설계 또는 벡터 DB 활용 경험
• 음성 인식 또는 영상 분석 (OpenCV, Whisper 등) 경험
• 교육 도메인에 관심 있거나 경험 있는 분
• 부산·경남 기반이거나 리모트 근무에 익숙한 분
• 특허·논문 출원에 관심 있는 분",[],"부산 해운대구 센텀2로 29, 3층 엠케이아카데미"
363515,873,딥아이,프론트엔드 엔지니어,"•검사 분석 웹 서비스 및 데스크톱(Electron) 애플리케이션 프론트엔드 개발
•React·TypeScript 기반 UI 컴포넌트 설계·구현 및 공용 디자인 시스템 구축·운영
•대용량 신호 데이터 시각화 화면 개발 (Babylon.js, React Three Fiber, d3, Konva 등)
•백엔드·AI 팀 협업 기반 API 연동 및 실시간 데이터 처리 (Socket.IO, SignalR)
•Sentry·PostHog 기반 에러·사용성 모니터링 및 서비스 품질 개선","•React와 TypeScript로 무언가를 끝까지 만들어 본 경험이 있으신 분 (실무·인턴·사이드 프로젝트 모두 환영)
•동작하는 코드를 넘어, 왜 그렇게 짰는지 설명할 수 있으신 분
•모르는 기술을 만났을 때 문서와 코드를 직접 읽고 시도해 보시는 분
•동료의 PR을 꼼꼼히 읽고, 본인 코드에 대한 피드백을 반갑게 받으시는 분


[근무조건]
• 근무형태 : 정규직(수습기간 3개월)
• 근무일시 : 주5일(월~금) 오전 9시~오후 6시 (유연근무 가능 : 8-17 / 9-18)
• 근무지역 : 동해남부선 일광역 도보 3분 이내 (일광에코테라스)
• 급여 : 경력 및 자격에 따라 협의 후 결정","•데이터를 시각적으로 보여 주는 화면(차트·그래프·캔버스·3D 등)을 만들어 본 경험
•사용자가 매일 쓰는 B2B·산업·도메인 소프트웨어에 흥미가 있으신 분
•본인이 만든 제품의 사용 지표를 보고 다음 액션을 결정해 본 경험
•모노레포·디자인 시스템 환경에서 일해 본 경험","['Git', 'React', 'JavaScript', 'Python', 'TypeScript', 'AWS', 'DevOps', 'NoSQL', 'Docker', 'RDBMS', 'Restful API']",기장군 일광읍 해송4로 16 일광에코테라스 806호
363475,873,비바리퍼블리카(토스),[토스] Node.js Developer (자동화),"• 모바일 자동화 플랫폼을 설계하고 개발해요. 안정적인 자동화 인프라를 구축하여 토스의 서비스 품질을 높여요.
• 모바일 디바이스를 원격으로 제어하고 모니터링하는 시스템을 개발해요. 실시간으로 디바이스 상태를 파악하고 제어할 수 있는 환경을 만들어요.
• 다양한 조직의 모바일 업무 자동화를 직접 실행해요. 요구사항을 분석하고 최적의 자동화 솔루션을 설계해요.
• 사용자의 모바일 금융 활동이 더 쉽고 자연스러워질 수 있도록, 다양한 모바일 데이터를 자동으로 수집하고 처리하는 시스템을 개발해요.
• 공용 라이브러리, CLI 도구 등 개발자 생산성 도구를 만들고 개선해요.
• OOP와 FP 기반의 높은 코드 품질과 충분한 테스트 커버리지를 갖춘 프로젝트를 운영하며, 기능 추가와 유지보수가 쉬운 코드를 지향해요.","• 모바일 자동화 또는 자동화 인프라를 설계하거나 개발해 본 경험이 있으신 분을 찾고 있어요.
• 분산 시스템이나 실시간 통신(WebSocket, gRPC 등) 기반 서비스를 개발해 본 경험이 있으신 분과 함께하고 싶어요.
• 고객에게 안정적으로 서비스를 제공하고, 장애 상황에서도 서비스가 중단되지 않도록 모니터링하고 대응해 본 경험이 있으신 분을 찾고 있어요.
• 유연하면서도 가독성이 좋은 코드, 유지보수가 가능한 코드를 작성하실 수 있는 분을 찾고 있어요.","[이력서는 이렇게 작성하시는 걸 추천해요]
• 모바일 자동화, 자동화 프레임워크, CI/CD 파이프라인 등 자동화 인프라 개발 경험이 있다면 기재해주세요.
• 실시간 통신(WebSocket, gRPC) 또는 분산 시스템을 구축한 경험을 작성해 주세요.
• Node.js, NestJS, MongoDB, Kafka 등 다양한 기술을 활용한 백엔드 서비스 운영 경험을 작성해 주세요.
• AWS, GitHub, Docker, Kubernetes 등의 경험이 있으시면 도움이 돼요. 관련 개발 경험이 있으시다면 기재해주세요.
• Functional Programming, Object Oriented Programming, Test Driven Development 경험이 있으시다면 기재해주세요.

[토스에서 사용하는 기술]
• TypeScript, Node.js, Nest.js, Go
• MongoDB, Redis, Kafka
• gRPC, WebSocket, Electron
• AWS, Docker, Kubernetes",[],테헤란로 142 아크플레이스 12층
363473,873,디텍트,Full-Stack Engineer (풀스택 엔지니어),"[What You Will Do] 
• Design and develop a web-based user interface for radar monitoring and control systems 
• Build responsive web applications that visualize real-time radar data clearly and reliably  
• Implement features enabling operators to control and configure radar systems through the browser  
• Integrate with backend and external systems via RESTful APIs  
• Design and implement secure authentication and authorization features  
• Optimize performance across browsers and devices; diagnose and resolve performance bottlenecks  
• Analyze, debug, and improve the quality of existing web applications  
• Research emerging web technologies and frameworks and introduce them thoughtfully to the codebase  
• Improve product usability and propose UI/UX enhancements based on user feedback  
• Collaborate with software engineers, UI/UX designers, product managers, and other stakeholders  
  
[주요 업무] 
• 레이더 모니터링 및 제어 시스템을 위한 웹 기반 사용자 인터페이스 설계 및 개발  
• 실시간 레이더 데이터를 시각화하는 반응형 웹 애플리케이션 구축  
• 브라우저를 통해 레이더 시스템을 제어·설정할 수 있는 기능 구현  
• RESTful API를 통한 백엔드 및 외부 시스템 연동  
• 안전한 인증 및 권한 관리 기능 설계·구현  
• 다양한 브라우저 및 디바이스 환경에서의 성능 최적화 및 병목 진단  
• 기존 웹 애플리케이션의 버그 분석, 디버깅 및 품질 개선  
• 최신 웹 기술과 프레임워크 트렌드를 연구하고 서비스에 적용  
• 사용자 피드백을 바탕으로 제품 사용성 개선 및 UI/UX 향상 제안  
• 소프트웨어 엔지니어, UI/UX 디자이너, 프로덕트 매니저, 현장 팀과의 협업","[Required]
• Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent practical experience)
• 8+ years of full-stack development experience
• Solid hands-on experience with HTML, CSS, and JavaScript
• Proficiency across multiple environments and languages, including VB6, VB.NET, C#, C/C++, PHP, ASP.NET, and Python
• Experience with web frameworks such as React, Angular, or Vue.js
• Experience building and consuming RESTful APIs; comfortable with asynchronous programming patterns
• Solid understanding of UX/UI principles and demonstrated application in real projects
• Business proficiency in both Korean and English - you will work with Korean clients and partners locally, and communicate daily with our engineering and leadership teams in the US
• Strong problem-solving skills and attention to detail
• Ability to document and explain technical decisions clearly in writing and in meetings

[필수]
• Collaborative mindset - you work effectively across functions including engineering, design, and product
• 컴퓨터공학, 소프트웨어공학 또는 관련 분야 학사 학위 이상 (또는 동등한 실무 경험)
• 풀스택 개발 경력 8년 이상
• HTML, CSS, JavaScript 실무 경험
• VB6, VB.NET, C#, C/C++, PHP, ASP.NET, Python 등 다양한 언어 및 환경에서의 개발 능력
• React, Angular, Vue.js 등 현대적 프론트엔드 프레임워크 경험
• RESTful API 구축 및 연동 경험, 비동기 프로그래밍에 대한 이해
• UX/UI 원칙에 대한 깊은 이해와 실제 프로젝트 적용 경험
• 한국어·영어 비즈니스 수준 구사 가능 — 국내 고객·파트너와의 소통은 한국어로, 미국 본사 팀과의 일상적인 협업은 영어로 진행됩니다
• 문제 해결 능력과 꼼꼼한 디테일 처리
• 기술적 결정 사항을 문서화하고 회의에서 명확하게 설명할 수 있는 커뮤니케이션 능력
• 엔지니어링, 디자인, 프로덕트 등 다양한 직군과 원활하게 협업하는 태도
• Hands-on experience with HTML, CSS, and JavaScript
• Development experience across multiple languages and environments, including VB6, VB.NET, C#, C/C++, PHP, ASP.NET, and Python
• Experience with modern front-end frameworks such as React, Angular, or Vue.js
• Experience building and integrating RESTful APIs
• Understanding of asynchronous programming patterns
• Understanding of UX/UI principles and application in real projects
• Ability to document technical decisions and explain them in meetings","[Preferred]
• Experience with data visualization libraries: D3.js, Chart.js, OpenLayers
• Backend development and database experience
• Familiarity with IDEs including Visual Studio, Eclipse, or Rapid PHP
• Database experience with MS SQL Server (SSMS/SSIS), MySQL (phpMyAdmin), MS Access, or PostgreSQL
• Basic graphic or media editing skills (Photoshop, Premiere, or similar)
• Project experience with OpenLayers, Web Services, or GIS (Geographic Information Systems)
• Background in networking and communications
• Valid driver's license (occasional travel to project sites may be required)
• D3.js, Chart.js, OpenLayers 등 데이터 시각화 라이브러리 활용 경험

[우대]
• 백엔드 개발 및 데이터베이스 경험
• Visual Studio, Eclipse, Rapid PHP 등 IDE 활용 경험
• MS SQL Server (SSMS/SSIS), MySQL (phpMyAdmin), MS Access, PostgreSQL 등 데이터베이스 경험
• Photoshop, Premiere 등 기본적인 그래픽·미디어 편집 능력
• OpenLayers, Web Services, GIS(지리정보시스템) 관련 프로젝트 경험
• 네트워크 및 통신 분야 지식
• 운전면허 소지자 (현장 출장이 필요할 수 있음)",[],"경기 성남시 분당구 분당내곡로 117, 판교 그레이츠 4층"
363289,873,아인잡(AINJOB),HR SaaS 플랫폼 백엔드 리더 (Java/Spring Boot),"1.	도메인 모델링 및 ERD/DB 설계 (확장성·정합성·성능 중심)
2.	Spring Boot 3.0 기반 모듈 구조 설계 및 기능 구현 리딩
3.	AWS 인프라 설계 및 구축 (ECS/Fargate, RDS, SQS, Lambda, S3, VPC)
4.	개발 표준 정립 (코드 리뷰, API 규칙, 패키지 구조, 기술 문서화)
5.	Dev/Stage/Prod 환경 구성 및 CI/CD 파이프라인 구축
6.	아키텍처 의사결정 주도 및 기술 방향 수립
7.	품질 리딩: 테스트 코드 기반의 품질 검증 및 기술 표준 정립
8.	핵심 API 개발","백엔드 개발 경력 6~10년
Java/Spring Boot 3.0 이상 실무 경험 5년 이상
•  ERD 설계 및 도메인 모델링 경험 (RDB를 활용한 정밀한 데이터 모델링 및 정합성 설계 역량)
•  SQL 설계 및 비즈니스 로직 데이터 구조화 역량 (상급)
•  AWS 기반 서비스 구축 및 운영 경험 (ECS, RDS, S3, VPC 중 주요 서비스 경험)
•  REST API 설계 및 구조 개선 경험
•  코드 품질, 운영 안정성, 보안에 대한 이해
•  학사 이상 / 컴퓨터공학·소프트웨어공학 관련 전공","•	B2B 플랫폼 서비스 상태전이 설계 경험 (멀티테넌트 SaaS 경험 우대)
•	이벤트 드리븐 아키텍처 / 메시징 시스템 경험 (SQS등)
•	WebSocket·실시간 알림 구현 경험
•	CI/CD 설계 및 DevOps 협업 경험
•	주니어·미들 개발자 코드 리뷰 및 기술 멘토링 경험","['Git', 'MySQL', 'Java', 'AWS', 'NoSQL', 'Docker', 'RDBMS', 'Spring Framework', 'JPA', 'RESTful Architecture', 'Restful API']",강남구 강남대로 310 유니온센터 
362950,873,플랜잇스퀘어,웹 애플리케이션 백엔드(풀스택) 개발자,"• 병원 정보 시스템 및 의료 데이터 플랫폼 웹 서비스 개발 및 유지보수
• RESTful API 설계 및 클라이언트-서버 간 데이터 연계 기능 개발
• 의료 데이터 처리 및 데이터 파이프라인 개발
• 데이터베이스 모델링 및 데이터 처리 로직 구현
• 인증, 권한 관리, 로깅, 트랜잭션 처리 등 공통 기능 개발
• 운영 환경 이슈 분석 및 서비스 안정화 작업","• AI 기반 개발 도구를 활용한 개발 방식에 관심이 있거나 적극적으로 활용해보신 분
• Spring Boot 기반 백엔드 개발 경험
• RESTful API 및 HTTP 기반 서비스 개발 경험
• 데이터베이스(SQL) 활용 경험
• Git 기반 형상관리 및 협업 경험
• Linux 환경에 대한 기본적인 이해

※ 신입 지원자의 경우 실무 경험보다 기본기와 성장 가능성을 중요하게 봅니다.


[기술 스택]

Backend: Java, Spring Boot, JPA/Hibernate
Frontend: React, Next.js
Database: PostgreSQL
Infra: Linux, Docker, Nginx
Collaboration: GitHub, GitHub Actions
AI Tooling: Claude Code MAX","•React, Next.js 등 프론트엔드 개발 경험
•JPA/Hibernate 활용 경험
•병원 시스템 또는 의료 데이터 관련 프로젝트 경험
•Docker, Nginx, CI/CD 환경 경험
•Claude Code, GitHub Copilot 등 AI 개발 도구 활용 경험
•서비스 성능 개선 및 운영 이슈 대응 경험
•문제 해결 중심으로 개발을 수행하는 분
•협업과 커뮤니케이션을 중요하게 생각하는 분",[],"서울특별시 강남구 역삼로111, 한국정보통신진흥협회 빌딩 4층 플랜잇스퀘어"
362591,873,키트웍스,"백엔드 웹프로그래머 (Spring, MSA) (7년 이상)","• 현대자동차 e-commerce 시스템 백엔드 웹프로그래밍 (Java, Spring, MSA)

[전형절차]
서류심사 - 비대면 기술면접 - 대면 면접 - 합격

[필수서류]
이력서, 자기소개서, 포트폴리오","• 관련 기술 포트폴리오 보유 (Java, Spring Framework, Oracle/Tibero DB)
• 학습 능력과 지속적인 성장 의지
• 함께 고민하고 해결해 나갈 수 있는 원활한 소통 능력
• 책임감","• 관련 전공자
• 정보처리기사 자격증 보유자
• 다양한 기술 스택 경험자
• 공모전/캠프 경험자","['Git', 'GitHub', 'Android', 'iOS', 'MySQL', 'Oracle', 'React', 'VueJS', 'Java', 'JavaScript', 'Kotlin', 'Rust', 'AWS', 'HTML5', 'Docker', 'CSS3', 'NodeJS', 'Spring Framework', 'Android Studio', 'Photoshop Elements', 'React.js', 'React Native', 'Figma', 'Flutter', 'Svelte']",영등포구 양평로 20 타워020 6층
362590,873,키트웍스,"백엔드 웹프로그래머 (Spring, MSA) (4~6년)","• 현대자동차 e-commerce 시스템 백엔드 웹프로그래밍 (Java, Spring, MSA)

[전형절차]
서류심사 - 비대면 기술면접 - 대면 면접 - 합격

[필수서류]
이력서, 자기소개서, 포트폴리오","• 관련 기술 포트폴리오 보유 (Java, Spring Framework, Oracle/Tibero DB)
• 학습 능력과 지속적인 성장 의지
• 함께 고민하고 해결해 나갈 수 있는 원활한 소통 능력
• 책임감","• 관련 전공자
• 정보처리기사 자격증 보유자
• 다양한 기술 스택 경험자
• 공모전/캠프 경험자","['Git', 'GitHub', 'Android', 'iOS', 'MySQL', 'Oracle', 'React', 'VueJS', 'Java', 'JavaScript', 'Kotlin', 'Rust', 'AWS', 'HTML5', 'Docker', 'CSS3', 'NodeJS', 'Spring Framework', 'Android Studio', 'Photoshop Elements', 'React.js', 'React Native', 'Figma', 'Flutter', 'Svelte']",영등포구 양평로 20 타워020 6층
